month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2024-08,2024-02-01..2024-07-31,ABSTAIN_INNER_VALIDATION,6,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-09,2024-03-01..2024-08-31,ABSTAIN_INNER_VALIDATION,405,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2024-10,2024-04-01..2024-09-30,ABSTAIN_INNER_VALIDATION,888,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-11,2024-05-01..2024-10-31,FROZEN_MODEL_EVALUATED,1369,1,1,0.11,0.22,200.0,3000.0,463.0,1.0,0.5,5.0,8.8831,3.4335,1.0,{'draw': 1}
2025-01,2024-07-01..2024-12-31,FROZEN_MODEL_EVALUATED,2372,3,3,0.4,0.22,55.0,3100.0,499.0,1.0,0.25,5.0,8.6083,6.8464,0.6667,"{'away': 1, 'draw': 2}"
2025-02,2024-08-01..2025-01-31,FROZEN_MODEL_EVALUATED,2865,18,11,3.01,1.47,48.84,2800.0,519.0,100.0,0.0,5.0,8.3328,4.4283,0.9444,"{'away': 1, 'draw': 15, 'home': 2}"
2025-03,2024-09-01..2025-02-28,FROZEN_MODEL_EVALUATED,2985,12,7,1.56,-0.66,-42.31,3100.0,499.0,100.0,0.0,5.0,7.9189,7.1334,0.9167,"{'draw': 10, 'away': 2}"
2025-04,2024-10-01..2025-03-31,FROZEN_MODEL_EVALUATED,3001,2,2,0.33,-0.33,-100.0,3000.0,524.0,1.0,0.25,5.0,7.7458,0.2256,0.5,{'draw': 2}
2025-05,2024-11-01..2025-04-30,FROZEN_MODEL_EVALUATED,3044,22,10,4.36,1.11,25.46,3100.0,353.0,10.0,0.0,5.0,7.8103,1.8825,0.5455,"{'draw': 13, 'away': 6, 'home': 3}"
2025-08,2025-02-01..2025-07-31,ABSTAIN_INNER_VALIDATION,1907,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2025-09,2025-03-01..2025-08-31,FROZEN_MODEL_EVALUATED,1877,12,6,1.98,3.75,189.39,3000.0,477.0,100.0,0.0,5.0,9.3758,8.9773,0.9167,"{'away': 11, 'home': 1}"
2025-10,2025-04-01..2025-09-30,FROZEN_MODEL_EVALUATED,1855,24,13,4.22,-1.81,-42.89,3100.0,482.0,100.0,0.0,5.0,9.0222,3.5176,0.625,"{'away': 18, 'draw': 2, 'home': 4}"
2025-11,2025-05-01..2025-10-31,FROZEN_MODEL_EVALUATED,1813,11,8,2.67,0.42,15.73,3000.0,525.0,1.0,0.25,5.0,8.5149,8.8101,0.7273,"{'away': 9, 'home': 2}"
2026-01,2025-07-01..2025-12-31,FROZEN_MODEL_EVALUATED,2458,6,6,0.99,-0.03,-3.03,3100.0,541.0,10.0,0.25,5.0,8.1311,4.7098,0.6667,{'away': 6}
2026-02,2025-08-01..2026-01-31,FROZEN_MODEL_EVALUATED,2994,8,6,1.13,0.73,64.6,2800.0,527.0,10.0,0.0,5.0,8.1867,6.4692,0.625,"{'away': 7, 'home': 1}"
2026-03,2025-09-01..2026-02-28,FROZEN_MODEL_EVALUATED,3032,18,10,2.89,0.08,2.77,3100.0,471.0,1.0,0.0,5.0,8.0819,6.7117,0.7778,"{'away': 17, 'home': 1}"
