month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,maximum_odds,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2024-08,2023-08-01..2024-07-31,ABSTAIN_INNER_VALIDATION,6,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-09,2023-09-01..2024-08-31,ABSTAIN_INNER_VALIDATION,405,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2024-10,2023-10-01..2024-09-30,ABSTAIN_INNER_VALIDATION,888,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2024-11,2023-11-01..2024-10-31,ABSTAIN_INNER_VALIDATION,1369,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2025-01,2024-01-01..2024-12-31,FROZEN_MODEL_EVALUATED,2372,2,2,0.23,0.25,108.7,3100.0,499.0,10.0,0.25,5.0,8.4853,10.8274,1.0,"{'away': 1, 'draw': 1}"
2025-02,2024-02-01..2025-01-31,FROZEN_MODEL_EVALUATED,2871,19,11,2.97,1.65,55.56,2800.0,519.0,100.0,0.0,5.0,8.2488,5.1114,0.9474,"{'away': 1, 'draw': 16, 'home': 2}"
2025-03,2024-03-01..2025-02-28,FROZEN_MODEL_EVALUATED,3390,11,7,1.41,-0.53,-37.59,3100.0,499.0,100.0,0.0,5.0,8.2544,6.8479,0.8182,"{'draw': 8, 'away': 3}"
2025-04,2024-04-01..2025-03-31,FROZEN_MODEL_EVALUATED,3889,7,5,0.99,-0.99,-100.0,3000.0,524.0,10.0,0.0,5.0,7.6931,-0.6834,0.2857,{'draw': 7}
2025-05,2024-05-01..2025-04-30,FROZEN_MODEL_EVALUATED,4413,13,7,2.52,1.03,40.87,3100.0,353.0,1.0,0.0,5.0,7.891,1.2299,0.3846,"{'draw': 6, 'away': 4, 'home': 3}"
2025-08,2024-08-01..2025-07-31,ABSTAIN_INNER_VALIDATION,4772,0,0,0.0,0.0,0.0,3100.0,,,,,,,,
2025-09,2024-09-01..2025-08-31,ABSTAIN_INNER_VALIDATION,4862,0,0,0.0,0.0,0.0,3000.0,,,,,,,,
2025-10,2024-10-01..2025-09-30,FROZEN_MODEL_EVALUATED,4856,11,9,1.95,-1.27,-65.13,3100.0,482.0,10.0,0.25,5.0,8.9631,5.5338,0.7273,"{'away': 10, 'home': 1}"
2025-11,2024-11-01..2025-10-31,FROZEN_MODEL_EVALUATED,4857,3,3,1.15,-0.16,-13.91,3000.0,525.0,1.0,0.5,5.0,8.6157,15.1471,0.6667,"{'home': 1, 'away': 2}"
2026-01,2025-01-01..2025-12-31,FROZEN_MODEL_EVALUATED,4859,14,10,2.94,0.89,30.27,3100.0,541.0,1.0,0.0,5.0,8.0412,4.7954,0.8571,"{'away': 12, 'draw': 1, 'home': 1}"
2026-02,2025-02-01..2026-01-31,FROZEN_MODEL_EVALUATED,4901,0,0,0.0,0.0,0.0,2800.0,527.0,1.0,0.25,5.0,8.1453,,,{}
2026-03,2025-03-01..2026-02-28,FROZEN_MODEL_EVALUATED,4909,5,3,0.66,0.33,50.0,3100.0,471.0,10.0,0.25,5.0,7.9973,5.5334,0.6,{'away': 5}
